name,official_school_name,place_id,Number who sat the Leaving Cert in June 2017,UCD,TCD,DCU,UL,Maynooth University,NUIG,UCC,St. Angela’s,QUB,Ulster University,Blanchardstown IT,National College of Ireland,DIT,Tallaght,Athlone IT,CIT,Dundalk,Galway-Mayo IT,IADT,IT Carlow,IT Sligo,IT Tralee,IT Letterkenny,IT Limerick,IT Waterford,Marino Institute of Education,Mary Immaculate,NCAD,RCSI,Griffith College,Dublin Business School,Irish College for Humanities and Applied Sciences,Total number (all years) who,  Totalprogression(allyears)to 
"Ard Scoil Naomh Mhuire, Inis Diomain, Inis",Cannot find the name,No Data,47,1,1,1,6,0,4,2,0,0,0,0,0,0,0,4,0,0,2,0,0,1,3,0,5,0,0,2,0,0,0,0,0,32,0.68
"Scoil Ioseph, An Tulach, Inis",Cannot find the name,No Data,63,1,0,1,6,0,6,1,0,0,0,0,0,0,1,0,0,0,4,1,0,0,1,0,11,2,0,6,0,0,0,0,0,41,0.65
"Kilkee Community School, Carrigaholt Road, Kilkee",Kilkee Community College,ChIJQU9N1RToWkgR9sdB9mTIlQ4,39,0,0,0,3,1,5,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,4,1,0,1,0,0,0,0,0,22,0.56
"Ennistymon Vocational School, Ennistymon","CBS Secondary School, Ennistymon",ChIJF-4VLnYGW0gR8I7iv139Lus,27,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,10,0.37
"*Presentation College, Mardyke, Cork City",Presentation Brothers College,ChIJj8U0XT2QREgRfNm-mCxmupo,99,0,5,0,1,0,3,98,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,119,1.2
"*Christian Brothers College, Sidney Hill,, Wellington Road, Cork",Christian Brother's College Cork,ChIJ48s9NwyQREgR5D2yJD2iYa4,142,3,4,0,4,0,1,106,0,0,0,0,0,2,0,0,32,0,0,2,0,0,0,0,1,1,0,1,0,2,0,0,0,159,1.12
"Presentation Secondary School, Mitchelstown, Mallow",Presentation Secondary School,ChIJbayy6hRXQ0gRUkAuZimnbDs,37,1,1,0,6,0,1,11,1,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,7,0,2,0,0,1,0,0,41,1.11
"Clonakilty Community College, Clonakilty",Clonakilty Community College,ChIJR0et1udWREgRm2TWVxj4D0U,78,1,4,2,9,0,1,22,0,0,0,0,0,0,0,0,32,0,1,1,0,0,1,0,2,2,0,3,0,0,0,0,0,81,1.04
"St Francis Capuchin College, Rochestown, Cork City",St Francis Capuchin College,ChIJ_____yKFREgRgKZ_COyXejY,108,0,1,0,0,0,0,65,0,0,0,0,0,1,0,0,41,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,112,1.04
"*Bandon Grammar School, Bandon",Bandon Grammar School,ChIJ6Vm4FS70REgRphK181IGUmM,98,6,8,3,6,0,9,31,0,0,0,0,0,0,0,0,23,0,1,0,1,0,6,0,1,1,0,1,0,1,1,0,0,99,1.01
"Coláiste an Spioraid Naoimh, Bishopstown, Cork",Coláiste an Spioraid Naoimh,ChIJ9f4d2CmOREgR-jvVpdLinTo,127,3,1,1,2,0,1,59,0,0,0,0,0,0,0,0,54,1,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,127,1
"Coláiste De La Salle, Macroom",De La Salle College,ChIJ8znsQrLlREgRCC0RilUhCp0,46,0,0,0,4,0,0,21,0,0,0,0,0,0,0,1,14,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,45,0.98
