name official_school_name	Address 1	Address 2	Address 3	Address 4	Address 42	County
Coláiste Bhríde Carnew	Coláiste Bhríde	Carnew	Co.Wicklow			"Carnew, Co.Wicklow"	Wicklow
St Kevin?s Community College	St. Kevin?s Community College	Dunlavin	Co Wicklow			"Dunlavin, Co Wicklow"	Wicklow
Avondale Community College	Avondale Community College	Rathdrum	Co Wicklow			"Rathdrum, Co Wicklow"	Wicklow
Coláiste Raithín	Colaiste Raithin	Bóthar Florence	Bré	Co Chill Mhantain		"Bóthar Florence, Bré, Co Chill Mhantain"	Wicklow
Ennis Community College	Ennis Community College	Ennis	Co Clare			"Ennis, Co Clare"	Clare
St Michael?s Community College	St Michaels Community College	Kilmihill	Co Clare			"Kilmihill, Co Clare"	Clare
St Joseph?s Community College	Carrigaholt	Carrigholt Rd.	Kilkee	Co. Clare		"Carrigholt Rd., Kilkee, Co. Clare"	Clare
Scariff Community College	Community College Hall	Scariff	Co Clare			"Scariff, Co Clare"	Clare
St Anne?s Community College	Saint Anne?s Community College	Killaloe	Co Clare			"Killaloe, Co Clare"	Clare
"St. Brogan?s College, Bandon"	St Brogan?s College	Kilbrogan	Bandon	Co Cork		"Kilbrogan, Bandon, Co Cork"	Cork
Colaiste Ghobnatan	Coláiste Ghobnatan	Baile Mhic Ire	Co Chorcaí			"Baile Mhic Ire, Co Chorcaí"	Cork
Scoil Mhuire	Scoil Mhuire	Béal Atha an Ghaorthaidh	Co Chorcaí			"Béal Atha an Ghaorthaidh, Co Chorcaí"	Cork
Clonakilty Community College	Clonakilty Community College	Clonakilty	Co Cork			"Clonakilty, Co Cork"	Cork
Coachford College	Coachford College	Coachford	Co Cork			"Coachford, Co Cork"	Cork
Cobh Community College	Carrignafoy Community College	Carrignafoy	Cobh	Co. Cork		"Carrignafoy, Cobh, Co. Cork"	Cork
Coláiste an Chraoibhin	Coláiste an Chraoibhin	Duntaheen Road	Fermoy	Co Cork		"Duntaheen Road, Fermoy, Co Cork"	Cork
Colaiste Treasa	Colaiste Treasa	Kanturk	Co Cork			"Kanturk, Co Cork"	Cork
Davis College	Gaelscoil Thomáis Dáibhís	Summerhill	Mallow	Co Cork		"Summerhill, Mallow, Co Cork"	Cork
McEgan College	Bishop McEgan College	Macroom	Co Cork			"Macroom, Co Cork"	Cork
St Fanahan?s College	St Fanahans College	Mitchelstown	Mallow	Co.Cork		"Mitchelstown, Mallow, Co.Cork"	Cork
St Colman?s Community College	St. Colmans Community College	Youghal Road	Midleton	Co Cork		"Youghal Road, Midleton, Co Cork"	Cork
St Aidan?s Community College	St Aidans Community College	Ballincolly	Dublin Hill	Cork		"Ballincolly, Dublin Hill, Cork"	Cork
Schull Community College	Schull Community College	Colla Road	Schull	Co Cork		"Colla Road, Schull, Co Cork"	Cork
Coláiste Choilm	Colaiste Choilm	Ballincollig	Co. Cork			"Ballincollig, Co. Cork"	Cork
Nagle Community College	Nagle Community College	Mahon	Blackrock	Cork		"Mahon, Blackrock, Cork"	Cork
Cork College Of Commerce	Cork College of Commerce	Morrison?s Island	Cork			"Morrison?s Island, Cork"	Cork
Terence Mac Swiney Community College	Cork	Hollyhill	Knocknaheeny	Cork		"Hollyhill, Knocknaheeny, Cork"	Cork
Coláiste Daibhéid	Coláiste Daibhéid	An t-Ardán Theas	Corcaigh			"An t-Ardán Theas, Corcaigh"	Cork
Crana College	Crana College	Crana Road	Buncrana	Co. Donegal		"Crana Road, Buncrana, Co. Donegal"	Donegal
Coláiste na Carraige	Coláiste na Carraige	Carrick	Co. Donegal			"Carrick, Co. Donegal"	Donegal
Abbey Vocational School	Abbey Vocational School Donegal Town	The Glebe	Donegal Town	Co.Donegal		"The Glebe, Donegal Town, Co.Donegal"	Donegal
Errigal College	Errigal College	Windyhall	Letterkenny			"Windyhall, Letterkenny"	Donegal
Mulroy College	Mulroy College	Milford	Letterkenny	Co Donegal		"Milford, Letterkenny, Co Donegal"	Donegal
Deele College	Deele College Vocational School	Raphoe	Lifford	Co Donegal		"Raphoe, Lifford, Co Donegal"	Donegal
Finn Valley College	Finn Valley College	Main Street	Stranorlar	Lifford		"Main Street, Stranorlar, Lifford"	Donegal
St. Catherine?s Vocational School	Saint Catherine?s Vocational School	Donegal Road	Killybegs	Co. Donegal		"Donegal Road, Killybegs, Co. Donegal"	Donegal
Gairm Scoil Chú Uladh	Gairmscoil Chú Uladh	Béal an Átha Móir	An Clochan	Leifear	Co Dhun na nGall	"Béal an Átha Móir, An Clochan, Leifear, Co Dhun na nGall"	Donegal
Gairmscoil Mhic Diarmada	Arranmore	An Leadhbgarbh	Árainn Mhór	Co Dhún na nGall		"An Leadhbgarbh, Árainn Mhór, Co Dhún na nGall"	Donegal
Colaiste Cholmcille	Coláiste Cholmcille	Indreabhán	Co na Gaillimhe			"Indreabhán, Co na Gaillimhe"	Galway
Clárin College	Clarin College	Athenry	Co Galway			"Athenry, Co Galway"	Galway
St Brigids College	St Brigid?s College	Loughrea	Co Galway			"Loughrea, Co Galway"	Galway
Coláiste an Chreagáin	Coláiste an Chreagáin	Mountbellew	Ballinasloe	Co Galway		"Mountbellew, Ballinasloe, Co Galway"	Galway
COLÁISTE NAOMH ÉINNE	Coláiste Naomh Éinne	Cill Rónain	Inis Mór	Árainn	Co na Gaillimhe	"Cill Rónain, Inis Mór, Árainn, Co na Gaillimhe"	Galway
St Killian?s College (Coláiste Chilleáin Naofa)	St Killian?s College	St. Killians College	Cnoc Breac	"New Inn, Ballinasloe"	Co Galway	"St. Killians College, Cnoc Breac, New Inn, Ballinasloe, Co Galway"	Galway
Coláiste Naomh Feichín	Coláiste Naomh Feichín	Corr na Mona	Co na Gaillimhe			"Corr na Mona, Co na Gaillimhe"	Galway
Coláiste na Coiribe	Coláiste na Coiribe	Bóthar Bhaile na mBúrcach	Bóthar Bhaile Mhóinín	Co. na Gailimhe		"Bóthar Bhaile na mBúrcach, Bóthar Bhaile Mhóinín, Co. na Gailimhe"	Galway
Coláiste Ghobnait	Coláiste Ghobnait	Inis Oírr	Oileáin Arann	Cuan na Gaillimhe		"Inis Oírr, Oileáin Arann, Cuan na Gaillimhe"	Galway
Gairmscoil na bPiarsach	Coláiste na bPiarsach	Ros Muc	Co na Gaillimhe			"Ros Muc, Co na Gaillimhe"	Galway
Archbishop McHale College	Archbishop McHale College	Dublin Road	Tuam	Co Galway		"Dublin Road, Tuam, Co Galway"	Galway
Galway Community College	Galway Community College	Wellpark	Galway			"Wellpark, Galway"	Galway
Athlone Community College	Athlone Community College	Retreat Road	Athlone	Co Westmeath		"Retreat Road, Athlone, Co Westmeath"	Westmeath
Castlepollard Community College	Castlepollard Community College	Castlepollard	Mullingar	Co Westmeath		"Castlepollard, Mullingar, Co Westmeath"	Westmeath
Columba College	Columba College	Killucan	Co Westmeath			"Killucan, Co Westmeath"	Westmeath
Mullingar Community College	Mullingar Community College	Millmount Road	Mullingar	Co. Westmeath		"Millmount Road, Mullingar, Co. Westmeath"	Westmeath
Clonaslee College	Clonaslee Vocational School	Clonaslee	Co. Laois			"Clonaslee, Co. Laois"	Laois
Portlaoise College	Portlaoise College	Mountrath Road	Portlaoise	Co. Laois		"Mountrath Road, Portlaoise, Co. Laois"	Laois
St Fergal?s College	Saint Fergal?s College	Rathdowney	Co Laois			"Rathdowney, Co Laois"	Laois
Carrigallen Vocational School	Carrigallen Vocational School	Carrigallen	Co Leitrim H12 TD72			"Carrigallen, Co Leitrim H12 TD72"	Leitrim
Lough Allen College	Lough Allen College	Drumkeerin	Co Leitrim			"Drumkeerin, Co Leitrim"	Leitrim
Drumshanbo Vocational School	Drumshanbo Vocational School	Drumshanbo	Co Leitrim			"Drumshanbo, Co Leitrim"	Leitrim
Coláiste Abbain	Coláiste Abbain	Adamstown	Enniscorthy	Co Wexford		"Adamstown, Enniscorthy, Co Wexford"	Wexford
Bridgetown College	Colaiste Bhaile An Droichid Bridgetown College	Bridgetown	Co Wexford			"Bridgetown, Co Wexford, "	Wexford
Vocational College Bunclody	Bunclody Vocational College	Bunclody	Enniscorthy	Co Wexford		"Bunclody, Enniscorthy, Co Wexford"	Wexford
Vocational College	Enniscorthy Vocational College	Enniscorthy	Co Wexford			"Enniscorthy, Co Wexford"	Wexford
Coláiste an Átha	Kilmuckridge Vocational College	Kilmuckridge	Co. Wexford			"Kilmuckridge, Co. Wexford"	Wexford
Kennedy College	Kennedy College	New Ross	Co Wexford			"New Ross, Co Wexford"	Wexford
Selskar College (Coláiste Sheilscire)	Selskar College	Westgate	Wexford	Co Wexford		"Westgate, Wexford, Co Wexford"	Wexford
Ballymahon Vocational School	Ballymahon Vocational School	Ballymahon	Co Longford			"Ballymahon, Co Longford"	Longford
Colaiste Mhuire	Colaiste Mhuire	Askeaton	Co Limerick			"Askeaton, Co Limerick"	Limerick
Ardscoil Phadraig	Ardscoil Phadraig	Granard	Co Longford			"Granard, Co Longford"	Longford
Lanesboro Community College	Lanesborough Community College	Lanesboro	Co Longford			"Lanesboro, Co Longford"	Longford
Templemichael College	Templemichael College	Templemichael	Longford			"Templemichael, Longford"	Longford
Bush Post Primary School	Bush Post Primary School	Riverstown	Dundalk	Co Louth		"Riverstown, Dundalk, Co Louth"	Louth
St Oliver?s Community College	St Oliver?s community College	Rathmullen Road	Drogheda	Co. Louth		"Rathmullen Road, Drogheda, Co. Louth"	Louth
Ó Fiaich College	O?Fiaich College	Dublin Road	Dundalk	Co. Louth		"Dublin Road, Dundalk, Co. Louth"	Louth
Scoil Ui Mhuiri	Scoil Ui Mhuiri	Barn Road	Dunleer	Co. Louth		"Barn Road, Dunleer, Co. Louth"	Louth
Desmond College	Desmond College	Station Road	Newcastle West	Co. Limerick		"Station Road, Newcastle West, Co. Limerick"	Limerick
Colaiste Chiarain	Colaiste Chiarain	Croom	Co. Limerick			"Croom, Co. Limerick"	Limerick
Hazelwood College	Hazelwood College	Dromcollogher	Co. Limerick			"Dromcollogher, Co. Limerick"	Limerick
St Peter?s College	St. Peter?s College	Dunboyne	Co. Meath			"Dunboyne, Co. Meath"	Meath
Community College Dunshaughlin	Dunshaughlin Community College	Dunshaughlin	Co Meath			"Dunshaughlin, Co Meath"	Meath
Coláiste Clavin	Coláiste Chlavin	Longwood	Enfield	Co Meath		"Longwood, Enfield, Co Meath"	Meath
O?Carolan College	O?Carolan College	Nobber	Co Meath			"Nobber, Co Meath"	Meath
St Oliver Post Primary	St Oliver Post Primary	Oldcastle	Co. Meath			"Oldcastle, Co. Meath"	Meath
Coláiste Pobail Rath Cairn	Coláiste Pobail Rathcairn	Ráth Cairn	Athboy	Co Meath		"Ráth Cairn, Athboy, Co Meath"	Meath
Beaufort College	Beaufort College	Trim Rd	Navan	Co Meath		"Trim Rd, Navan, Co Meath"	Meath
Moyne College	Moyne College	Ballina	Co Mayo			"Ballina, Co Mayo, "	Mayo
St. Brendan?s College	Saint Brendan?s College	Belmullet	Co. Mayo			"Belmullet, Co. Mayo, "	Mayo
St. Tiernan?s College	St. Tiernan?s College	Crossmolina	Ballina	Co Mayo		"Crossmolina, Ballina, Co Mayo"	Mayo
St. Patrick?s College	Lacken Cross (Opp St Patricks)	Lacken Cross	Killala	Co Mayo		"Lacken Cross, Killala, Co Mayo"	Mayo
Colaiste Chomain	Colaiste Chomain	Rossport	Ballina	Co Mayo		"Rossport, Ballina, Co Mayo"	Mayo
Ballybay Community College	Ballybay Community College	Ballybay	Co Monaghan			"Ballybay, Co Monaghan"	Monaghan
Largy College	Largy College	Analore Rd	Clones	Co Monaghan		"Analore Rd, Clones, Co Monaghan"	Monaghan
Inver College	Inver College	Carrickmacross	Co Monaghan			"Carrickmacross, Co Monaghan"	Monaghan
Castleblayney College	Castleblayney College	Dublin Road	Castleblayney	Co Monaghan		"Dublin Road, Castleblayney, Co Monaghan"	Monaghan
Beech Hill College	Beech Hill College	Monaghan	Co. Monaghan			"Monaghan, Co. Monaghan"	Monaghan
Coláiste Chathail Naofa	Colaiste Chathail Naofa	Youghal Rd	Dungarvan			"Youghal Rd, Dungarvan"	Waterford
St Declan?s Community College	St Declans Community College	Kilmacthomas	Co Waterford			"Kilmacthomas, Co Waterford"	Waterford
St Paul?s Community College	St Pauls Community College	Browne?s Road	Waterford City			"Browne?s Road, Waterford City"	Waterford
Elphin Community College	Elphin Community College	Elphin	Castlerea	Co Roscommon		"Elphin, Castlerea, Co Roscommon"	Roscommon
Roscommon Community School	Roscommon Community College	Lisnamult	Roscommon	Co. Roscommon		"Lisnamult, Roscommon, Co. Roscommon"	Roscommon
Corran College	Corran College	Ballymote	Co Sligo			"Ballymote, Co Sligo"	Sligo
Coola Post Primary School	Coola Post Primary School	Riverstown	Via Boyle	Co Sligo		"Riverstown, Via Boyle, Co Sligo"	Sligo
Coláiste Iascaigh	Colaiste Iascaigh	Easkey	Co Sligo			"Easkey, Co Sligo"	Sligo
Grange Post Primary School	Grange Post Primary School	Grange	Co Sligo			"Grange, Co Sligo"	Sligo
Ballinode College	Sligo College of Further Education	Clarion Rd	Sligo			"Clarion Rd, Sligo"	Sligo
Borrisokane Community College	Borrisokane Community College	Borrisokane	Co Tipperary			"Borrisokane, Co Tipperary"	Tipperary
Comeragh College	Comeragh College	Greenside	Carrick-On-Suir			"Greenside, Carrick-On-Suir"	Tipperary
Central Technical Institute	CTI Clonmel	Clonmel	Co Tipperary			"Clonmel, Co Tipperary"	Tipperary
Scoil Ruain	Scoil Ruain Vocational School	Killenaule	Thurles	Co Tipperary		"Killenaule, Thurles, Co Tipperary"	Tipperary
Nenagh Vocational School	Nenagh College	Dromin Road	Nenagh	Co Tipperary		"Dromin Road, Nenagh, Co Tipperary"	Tipperary
Newport College	Newport College	Newport	Co Tipperary			"Newport, Co Tipperary"	Tipperary
St. Alibe?s School	Saint Ailbe?s School	Rosanna Road	Tipperary Town			"Rosanna Road, Tipperary Town"	Tipperary
Coláiste Mhuire Co-Ed	Colaiste Mhuire Co-Ed	Castlemeadows	Thurles	Co Tipperary		"Castlemeadows, Thurles, Co Tipperary"	Tipperary
Coláiste Naomh Cormac	Coláiste Naomh Cormac	Kilcormac	Co Offaly			"Kilcormac, Co Offaly, "	Offaly
Ard Scoil Chiaráin Naofa	Ard Scoil Chiaráin Naofa	Frederick St.	Clara	Co. Offaly		"Frederick St., Clara, Co. Offaly"	Offaly
Oaklands Community College	Oaklands Community College	Sr. Senan Avenue	Edenderry	Co. Offaly		"Sr. Senan Avenue, Edenderry, Co. Offaly"	Offaly
Tullamore College	Tullamore College	Riverside	Tullamore	Co. Offaly		"Riverside, Tullamore, Co. Offaly"	Offaly
Davitt College	Davitt College VEC	Springfield	Castlebar			"Springfield, Castlebar"	Mayo
Colaiste na Trocaire (Mercy Community College)	Coláiste na Trócaire	Rathkeale	Co. Limerick			"Rathkeale, Co. Limerick"	Limerick
Castleknock Community College	Castleknock Community College	Carpenterstown Road	Castleknock	Dublin 15		"Carpenterstown Road, Castleknock, Dublin 15"	Dublin
Colaiste Dun Iascaigh	Colaiste Dun Iascaigh	Cashel Road	Cahir	Co Tipperary		"Cashel Road, Cahir, Co Tipperary"	Tipperary
Glanmire Community College	GLANMIRE COMMUNITY COLLEGE	Glanmire	Co. Cork			"Glanmire, Co. Cork"	Cork
Coláiste Cois Life	Coláiste Cois Life	Gleann an Ghrífín	Leamhcán	Co Átha Cliath		"Gleann an Ghrífín, Leamhcán, Co Átha Cliath"	Dublin
Meánscoil San Nioclás	Meánscoil san Nioclás	Rinn O gCuanach	Co. Phort Láirge			"Rinn O gCuanach, Co. Phort Láirge"	Waterford
Colaiste Pobail Naomh Mhuire	Coláiste Pobail Noamh Mhuire	Cill na Mullach	Co Chorcaí			"Cill na Mullach, Co Chorcaí"	Cork
Coláiste na Sceilge	Colaiste na Sceilge	Caherciveen	Co. Kerry			"Caherciveen, Co. Kerry"	Kerry
Colaiste Phobáil Ros Cré	Colaiste Phobail Ros Cre	Corville Rd	Roscrea	Co Tipperary		"Corville Rd, Roscrea, Co Tipperary"	Tipperary
Coláiste Ióasef	Coláiste Iósaef Community College	Kilmallock	Co. Limerick			"Kilmallock, Co. Limerick"	Limerick
Abbey Community College	Abbey Community College	Boyle	Co Roscommon			"Boyle, Co Roscommon"	Roscommon
Castletroy College	Castletroy College	Newtown	Castletroy	Co Limerick		"Newtown, Castletroy, Co Limerick"	Limerick
St John Bosco Community College	St John Bosco Community College	Cahercon	Kildysart	Co Clare		"Cahercon, Kildysart, Co Clare"	Clare
Colaiste Chraobh Abhann	Colaiste Chraobh Abhann	Creowen	Kilcoole	Co Wicklow		"Creowen, Kilcoole, Co Wicklow"	Wicklow
Larkin Community College	Larkin Community College	Champions Avenue	Dublin 1			"Champions Avenue, Dublin 1"	Dublin
Skerries Community College	Skerries Community College	Skerries	Co. Dublin			"Skerries, Co. Dublin"	Dublin
Coláiste Phobail Cholmcille	Coláiste Phobail Cholmcille	Baile Úr	Oileán Thoraí	Doirí Beaga	Co. Dhún Na nGall	"Baile Úr, Oileán Thoraí, Doirí Beaga, Co. Dhún Na nGall"	Donegal
Coláiste Ailigh	Colaiste Ailigh	Cnoc na Móna	Leitir Ceanainn	Co.Dhún na nGall		"Cnoc na Móna, Leitir Ceanainn, Co.Dhún na nGall"	Donegal
Abbey Community College	Abbey Community College	Abbey Rd	Ferrybank	Waterford		"Abbey Rd, Ferrybank, Waterford"	Kilkenny
Magh Ene College	Magh Ene College	Church Road	Bundoran	Co Donegal		"Church Road, Bundoran, Co Donegal"	Donegal
Moville Community College	Moville Community College	Carrownaff	Moville	Co Donegal		"Carrownaff, Moville, Co Donegal"	Donegal
Gaelcholáiste Reachrann	Gaelcholáiste Reachrann	Bóthar Mhainistir na Gráinsí	Domhnach Míde	Baile Atha Cliath 13		"Bóthar Mhainistir na Gráinsí, Domhnach Míde, Baile Atha Cliath 13"	Dublin
MARIA IMMACULATA COMMUNITY COLLEGE	Maria Immaculata Community College	Dunmanway	Co Cork			"Dunmanway, Co Cork"	Cork
Ratoath College	Ratoath College	Jamestown	Ratoath	Co. Meath		"Jamestown, Ratoath, Co. Meath"	Meath
MOHILL COMMUNITY COLLEGE	Mohill Community College	MOHILL	CO LEITRIM			"MOHILL, CO LEITRIM"	Leitrim
Coláiste Pobail Bheanntraí	Coláiste Pobail Bheanntraí - Bantry Community College	SESKIN	BANTRY	CO CORK		"SESKIN, BANTRY, CO CORK"	Cork
Coláiste Oiriall	Coláiste Oiriall	Tir Chianáin	Muineachán	Co Mhuineacháin		"Tir Chianáin, Muineachán, Co Mhuineacháin"	Monaghan
PRESENTATION COMMUNITY COLLEGE	Presentation Community College Terenure CDETB	Terenure Park	Terenure	Dublin 6 W		"Terenure Park, Terenure, Dublin 6 W"	Dublin
COLÁISTE ÍDE AGUS IOSAEF	Colaiste Ide agus Iosef	ABBEYFEALE	CO LIMERICK			"ABBEYFEALE, CO LIMERICK"	Limerick
Coláiste Mhuirlinne/Merlin College	Merlin College - Coláiste Mhuirlinne	Doughiska Road	Galway			"Doughiska Road, Galway"	Galway
ADAMSTOWN COMMUNITY COLLEGE	Adamstown Community College	Station Rd	Adamstown	Co Dublin		"Station Rd, Adamstown, Co Dublin"	Dublin
Colaiste Pobail Setanta	Coláiste Pobail Setanta College	Phibblestown Community College	Phibblestown	Dublin 15		"Phibblestown Community College, Phibblestown, Dublin 15"	Dublin
Coláiste Chill Mhantáin	Coláiste Chill Mhantain	Burkeen	Wicklow Town	Co Wicklow		"Burkeen, Wicklow Town, Co Wicklow"	Wicklow
GAELCHOLÁISTE LUIMNIGH	Gaelcholáiste Luimnigh	MEAL SIOR ANRAÍ	LUIMNEACH			"MEAL SIOR ANRAÍ, LUIMNEACH"	Limerick
Coláiste an Eachréidh	Coláiste an Eachréidh	An Coiléar Bán	Baile Átha an Rí	Co na Gaillimhe		"An Coiléar Bán, Baile Átha an Rí, Co na Gaillimhe"	Galway
Colaiste na hInse	Colaiste Na Hinse	Bettystown	Co Meath			"Bettystown, Co Meath, "	Meath
Donabate Community College	Donabate Community College	"Olive Laffoy, Principal"	Donabate Community College	Portrane Road	"Donabate, Co. Dublin"	"Olive Laffoy, Principal, Donabate Community College, Portrane Road, Donabate, Co. Dublin"	Dublin
Colaiste Na Sionna	Banagher College - Coláiste na Sionna	Banagher	Banagher			"Banagher, Banagher"	Offaly
Gaelcholáiste na Mara	Gaelcholaiste na Mara	Pairc Na bPiarsach	Bothar an Ghleanntain	Arklow	Co.Wicklow	"Pairc Na bPiarsach, Bothar an Ghleanntain, Arklow, Co.Wicklow"	Wicklow
Gaelcholáiste Chineál Eoghain	Colaiste Chineal Eoghain	Muileann Thulaigh Gharbháin	Bun Cranncha	Co. Dhún na nGall		"Muileann Thulaigh Gharbháin, Bun Cranncha, Co. Dhún na nGall"	Donegal
Creagh College	Creagh College	Carnew Road	Gorey	Co. Wexford		"Carnew Road, Gorey, Co. Wexford"	Wexford
Ardgillan Community College	Ardgillan Community College	Castlelands	Balbriggan		Co Dublin	"Castlelands, Balbriggan, Co Dublin"	Dublin
Luttrellstown Community College	Luttrellstown Community College	Luttrellstown Community College	Mill Road	Blanchardstown	Dublin 15	"Luttrellstown Community College, Mill Road, Blanchardstown, Dublin 15"	Dublin
Coláiste Pobail Acla	Coláiste Pobail Acla	Achill Sound	Westport	Co. Mayo		"Achill Sound, Westport, Co. Mayo"	Mayo
Kishoge Community College	Kishoge Community College	Clonburris	Lucan			"Clonburris, Lucan"	Dublin
"Colaiste na Mí, Navan, Co. Meath"	Coláiste na Mí	Navan	Navan			"Navan, Navan"	Meath
Maynooth Community College	Coláiste Pobail Mhá Nuad | Maynooth Community College	Maynooth	Co Kildare			"Maynooth, Co Kildare"	Kildare
Naas Community College	Naas Community College	Craddockstown	Naas	Co. Kildare		"Craddockstown, Naas, Co. Kildare"	Kildare
Coláiste Chú Chulainn	Coláiste Lú	Dundalk	Dundalk			"Dundalk, Dundalk"	Louth
DE LACY COLLEGE	Coláiste De Lacy	Ashbourne	Ashbourne			"Ashbourne, Ashbourne"	Meath
Lusk Community College	Lusk Community College	Raheny Lane	Rathmore Road	Lusk	Co. Dublin	"Raheny Lane, Rathmore Road, Lusk, Co. Dublin"	Dublin
Coláiste Bhaile Chláir	Coláiste Bhaile Chláir - Claregalway College	Claregalway	Co. Galway			"Claregalway, Co. Galway"	Galway
Gaelcholáiste Charraig Ui Leighin	Gaelcholáiste Charraig Uí Leighin	Waterpark House	Church Road	Carrigaline		"Waterpark House, Church Road, Carrigaline"	Cork
Kingswood Community College	Kingswood Community College	Kingswood Avenue	Tallaght	Dublin 24		"Kingswood Avenue, Tallaght, Dublin 24"	Dublin
Dún na Rí College	Coláiste Dún an Rí	Main Street	Kingscourt	Co Cavan		"Main Street, Kingscourt, Co Cavan"	Cavan
Carrigtwohill Post Primary	Carrigtwohill Community College	Carrigtwohill	Carrigtwohill			"Carrigtwohill, Carrigtwohill"	Cork
St Joseph?s Community College	St Joseph?s Community College	Charlestown	Mayo			"Charlestown, Mayo"	Mayo
Clonturk College	Clonturk Community College	Whitehall	Dublin 9			"Whitehall, Dublin 9"	Dublin
Thomond Community College	Thomond Community College	Moylish Park	Moylish	Limerick		"Moylish Park, Moylish, Limerick"	Limerick
Griffeen Community College	Griffeen Community College	c/o Kishogue Community CMain Street	Kishogue	Lucan	Co. Dublin	"c/o Kishogue Community CMain Street, Kishogue, Lucan, Co. Dublin"	Dublin
Dunamase College (Colaiste Dhun Masc)	Choláiste Dhún Másc	Railway Street	Portlaoise	Co. Laois		"Railway Street, Portlaoise, Co. Laois"	Laois
Mungret/Dooradoyle Community College	Mungret Community College	Old Stables Mungret College	Dromdarrig	Mungret	Co. Limerick	"Old Stables Mungret College, Dromdarrig, Mungret, Co. Limerick"	Limerick
Newpark Comprehensive School	Newpark Comprehensive School	Newtown Park Avenue	Blackrock	Co Dublin		"Newtown Park Avenue, Blackrock, Co Dublin"	Dublin
Mount Temple Comprehensive School	Mount Temple Comprehensive School	Malahide Road	Dublin 3			"Malahide Road, Dublin 3"	Dublin
St Aidans Comprehensive School	St Aidan?s Comprehensive School	Cootehill	Co Cavan			"Cootehill, Co Cavan"	Cavan
Tarbert Comprehensive School	Tarbert Comprehensive School	Tarbert	Listowel	Co Kerry		"Tarbert, Listowel, Co Kerry"	Kerry
Shannon Comprehensive School	St Patricks Comprehensive School	Shannon	Co Clare			"Shannon, Co Clare"	Clare
Ashton School	Ashton Comprehensive School	Blackrock Road	Cork			"Blackrock Road, Cork"	Cork
Boherbue Comprehensive School	Boherbue Comprehensive School	Boherbue	Mallow	Co Cork		"Boherbue, Mallow, Co Cork"	Cork
St Columba?s Comprehensive School	St Columbas Comprehensive School	Glenties	Co Donegal			"Glenties, Co Donegal"	Donegal
The Royal and Prior School	Royal and Prior School Raphoe Co Donegal	Raphoe	Co Donegal			"Raphoe, Co Donegal"	Donegal
Scoil Chuimsitheach Chiaráin	Scoil Chuimsitheach Chiaráin	An Cheathrú Rua	Co na Gaillimhe			"An Cheathrú Rua, Co na Gaillimhe"	Galway
St. Clare?s Comprehensive School	Saint Clare?s Comprehensive School	Manorhamilton	Co. Leitrim			"Manorhamilton, Co. Leitrim"	Leitrim
Crescent College Comprehensive	Crescent College Comprehensive	Dooradoyle Rd	Dooradoyle	Limerick		"Dooradoyle Rd, Dooradoyle, Limerick"	Limerick
East Glendalough School	East Glendalough School	Station Road	Wicklow Town			"Station Road, Wicklow Town"	Wicklow
TRINITY COMPREHENSIVE SCHOOL	Trinity Comprehensive School	BALLYMUN ROAD	DUBLIN 9			"BALLYMUN ROAD, DUBLIN 9"	Dublin
Holy Family Community School	Holy Family Community School	Kilteel Road	Rathcoole	Co Dublin		"Kilteel Road, Rathcoole, Co Dublin"	Dublin
Phobailscoil Iosolde	Palmerstown	Palmerstown	Dublin 20			"Palmerstown, Dublin 20"	Dublin
Ballinteer Community School	Ballinteer Community School	Ballinteer	Dublin 16			"Ballinteer, Dublin 16"	Dublin
Cabinteely Community School	Cabinteely Community School	Cabinteely	Dublin 18			"Cabinteely, Dublin 18"	Dublin
Scoil Phobail Chuil Mhin	Coolmine Community School	Cluain Saileach	Baile Atha Cliath 15			"Cluain Saileach, Baile Atha Cliath 15"	Dublin
Blakestown Community School	Blakestown Community School	Blanchardstown	Dublin 15			"Blanchardstown, Dublin 15"	Dublin
The Donahies Community School	The Donahies Community School	Streamville Road	Dublin 13			"Streamville Road, Dublin 13"	Dublin
Portmarnock Community School	Portmarnock Community School	Carrickhill Road	Portmarnock	Co Dublin		"Carrickhill Road, Portmarnock, Co Dublin"	Dublin
Malahide Community School	Malahide Community School	Broomfield	Malahide	Co. Dublin		"Broomfield, Malahide, Co. Dublin"	Dublin
Holy Child Community School	Holy Child Community School	Pearse Street	Sallynoggin	County Dublin		"Pearse Street, Sallynoggin, County Dublin"	Dublin
St Marks Community School	St Marks Community School	Cookstown Rd	Tallaght	Dublin 24		"Cookstown Rd, Tallaght, Dublin 24"	Dublin
Tallaght Community School	Tallaght Community School	Balrothery	Tallaght	Dublin 24		"Balrothery, Tallaght, Dublin 24"	Dublin
Old Bawn Community School	Old Bawn Community School	Old Bawn	Tallaght	Dublin 24		"Old Bawn, Tallaght, Dublin 24"	Dublin
Killinarden Community School	Killinarden Community School	Killinarden	Tallaght	Dublin 24		"Killinarden, Tallaght, Dublin 24"	Dublin
St Aidan?s Community School	St Aidans Community School	Brookfield	Tallaght	Dublin 24		"Brookfield, Tallaght, Dublin 24"	Dublin
Hartstown Community School	Hartstown Community School	Clonsilla	Dublin 15			"Clonsilla, Dublin 15"	Dublin
Pobalscoil Neasáin	Pobalscoil Neasain	Baldoyle	Dublin 13			"Baldoyle, Dublin 13"	Dublin
