name official_school_name	Address 1	Address 2	Address 3	Address 4	Address 42	County
St Conleths College	Saint Conleths College	28 Clyde Road	Ballsbridge	Dublin 4		"28 Clyde Road, Ballsbridge, Dublin 4"	Dublin
St Kilian?s Deutsche Schule	St Kilian?s German School	Roebuck Road	Clonskeagh	Dublin 14		"Roebuck Road, Clonskeagh, Dublin 14"	Dublin
Sandford Park School Ltd	Sandford Park School	Sandford Road	Ranelagh	Dublin 6		"Sandford Road, Ranelagh, Dublin 6"	Dublin
St Andrews College	St. Andrew?s College	Booterstown Ave	Blackrock	Co Dublin		"Booterstown Ave, Blackrock, Co Dublin"	Dublin
St Patricks Cathedral G.S	St. Patrick?s Cathedral Grammar School	St Patricks Close	Dublin 8			"St Patricks Close, Dublin 8"	Dublin
The High School	The High School	Zion Road	Rathgar	Dublin 6		"Zion Road, Rathgar, Dublin 6"	Dublin
Dominican College	Dominican College	Griffith Ave	Drumcondra	Dublin 9		"Griffith Ave, Drumcondra, Dublin 9"	Dublin
Scoil Chaitriona	Scoil Chaitríona	Bóthar Mobhí	Glasnaíon	Ath Cliath 9		"Bóthar Mobhí, Glasnaíon, Ath Cliath 9"	Dublin
Muckross Park College	Muckross Park College	Donnybrook	Dublin 4			"Donnybrook, Dublin 4"	Dublin
Saint Dominic?s Secondary School	St Dominic?s College Ballyfermot	Kylemore Road	Ballyfermot	Dublin 10		"Kylemore Road, Ballyfermot, Dublin 10"	Dublin
St Dominics College	St Dominic?s College	Cabra	Dublin 7			"Cabra, Dublin 7"	Dublin
Caritas College	Caritas College	Drumfinn Road	Dublin 10			"Drumfinn Road, Dublin 10"	Dublin
St Michaels Secondary School	St Michaels Secondary School	Wellmount Road	Finglas	Dublin 11		"Wellmount Road, Finglas, Dublin 11"	Dublin
Holy Faith Secondary School	Holy Faith Secondary School	1 Belgrove Road	Clontarf	Dublin 3		"1 Belgrove Road, Clontarf, Dublin 3"	Dublin
St Mary?s Secondary School	ST MARY?S SECONDARY SCHOOL	Holy Faith Convent	Glasnevin	Dublin 11		"Holy Faith Convent, Glasnevin, Dublin 11"	Dublin
Presentation College	"Presentation Secondary School, Warrenmount"	Warrenmount	Dublin 8			"Warrenmount, Dublin 8"	Dublin
Loreto College	Loreto College	Crumlin Road	Dublin 12			"Crumlin Road, Dublin 12"	Dublin
Loreto College	Loreto College	Swords	Co Dublin			"Swords, Co Dublin"	Dublin
Loreto College	"Loreto College, St. Stephen?s Green"	53 St Stephens Green	Dublin 2			"53 St Stephens Green, Dublin 2"	Dublin
Maryfield College	Maryfield College	Glandore Road	Drumcondra	Dublin 9		"Glandore Road, Drumcondra, Dublin 9"	Dublin
Rosary College	Rosary College	Armagh Road	Crumlin	Dublin 12		"Armagh Road, Crumlin, Dublin 12"	Dublin
St Josephs Secondary School	Stanhope Street Girls (St Joseph?s) Secondary School	Stanhope St	Dublin 7			"Stanhope St, Dublin 7"	Dublin
Assumption Secondary School	Assumption Secondary School Walkinstown	Walkinstown	Dublin 12			"Walkinstown, Dublin 12"	Dublin
Mount Carmel Secondary School	Mount Carmel Secondary School	Kings Inn Street	Dublin 1			"Kings Inn Street, Dublin 1"	Dublin
Our Ladys School	Our Ladys School	Templeogue Rd	Terenure	Dublin 6W		"Templeogue Rd, Terenure, Dublin 6W"	Dublin
Our Lady Of Mercy College	Our Lady of Mercy College (Secondary School)	Beaumont	Dublin 9			"Beaumont, Dublin 9, "	Dublin
Mercy College Coolock	Mercy College	St Brendans Drive	Coolock	Dublin 5		"St Brendans Drive, Coolock, Dublin 5"	Dublin
Mercy Secondary School	Mercy Secondary School	Goldenbridge	Inchicore	Dublin 8		"Goldenbridge, Inchicore, Dublin 8"	Dublin
St Louis High School	St Louis High School	Charleville Road	Rathmines	Dublin 6		"Charleville Road, Rathmines, Dublin 6"	Dublin
Jesus and Mary College	"Jesus and Mary College, Our Lady?s Grove"	Our Lady?s Grove	Goatstown Road	Dublin 14		"Our Lady?s Grove, Goatstown Road, Dublin 14"	Dublin
The Teresian School	The Teresian Junior School	12 Stillorgan Road	Donnybrook	Dublin 4		"12 Stillorgan Road, Donnybrook, Dublin 4"	Dublin
St Pauls Secondary School	St Pauls Secondary School	Greenhills	Dublin 12			"Greenhills, Dublin 12"	Dublin
Alexandra College	Alexandra College	Milltown	Dublin 6			"Milltown, Dublin 6"	Dublin
Rosemont School	Rosemont School	Enniskerry Road	Sandyford	Dublin 18		"Enniskerry Road, Sandyford, Dublin 18"	Dublin
Our Lady Of Mercy Secondary School	Our Lady of Mercy Secondary School	Mourne Road	Drimnagh	Dublin 12		"Mourne Road, Drimnagh, Dublin 12"	Dublin
Wesley College	Wesley College	Ballinteer	Dublin 16			"Ballinteer, Dublin 16, "	Dublin
Stratford College	Stratford College	1 Zion Road	Rathgar	Dublin 6		"1 Zion Road, Rathgar, Dublin 6"	Dublin
St Clare?s College	St Clares College	Ballyjamesduff	Co. Cavan			"Ballyjamesduff, Co. Cavan"	Cavan
St Patrick?s College	St Patrick?s College	Cavan	Co. Cavan			"Cavan, Co. Cavan"	Cavan
Loreto College	Loreto College	Cavan	Co. Cavan			"Cavan, Co. Cavan"	Cavan
Royal School Cavan	Royal School	College Street	Cavan	Co. Cavan		"College Street, Cavan, Co. Cavan"	Cavan
St Mary?s Academy CBS	St Marys Academy CBS	Station Rd	Carlow			"Station Rd, Carlow"	Carlow
St Mary?s Knockbeg College	St Marys Knockbeg College	Knockbeg	Co. Carlow			"Knockbeg, Co. Carlow"	Carlow
St. Leo?s College	St Leo?s College	Dublin Road	Carlow			"Dublin Road, Carlow"	Carlow
Presentation College	Presentation College Carlow	Askea	Carlow	Co. Carlow		"Askea, Carlow, Co. Carlow"	Carlow
Presentation / De La Salle College	Presentation De La Salle College	Royal Oak Road	Muine Bheag	Co. Carlow		"Royal Oak Road, Muine Bheag, Co. Carlow"	Carlow
St. Joseph?s Secondary School	St Josephs Secondary School	Doon Road	Ballybunion	Co. Kerry		"Doon Road, Ballybunion, Co. Kerry"	Kerry
Meanscoil Phadraig Naofa	Colaiste Phadraig Naofa	Castleisland	Co Kerry			"Castleisland, Co Kerry"	Kerry
Mean Scoil Naomh Ioseph	Presentation Secondary School Castleisland	Clochar na Toirbhirte	Castleisland	Co Kerry		"Clochar na Toirbhirte, Castleisland, Co Kerry"	Kerry
Coláiste Íde	Coláiste Íde	Baile an Ghóilín	Daingean Uí Chúis	Co Chiarraí		"Baile an Ghóilín, Daingean Uí Chúis, Co Chiarraí"	Kerry
St. Brendan?s College	St. Brendan?s College	Cill Airne	Co Chiarraí			"Cill Airne, Co Chiarraí"	Kerry
St. Brigid?s Secondary School	St Brigids Secondary School (Presentation College)	New Street	Killarney	Co. Kerry		"New Street, Killarney, Co. Kerry"	Kerry
The Intermediate School	Killorglin Intermediate School	Iveragh Road	Killorglin	Co. Kerry		"Iveragh Road, Killorglin, Co. Kerry"	Kerry
